                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3358,                 3.5251,                 1.7013,                0.01889,                0.49275,                0.01495,                0.00622,                 1.6205,                 3.4635,                 1.5658,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.2695,                 3.5252,                 1.7896,                0.01889,                0.49275,                 0.0152,                0.00619,                 1.6242,                 3.4521,                 1.5698,               0.097299,             0.00029851,             0.00029851
                      2,                 2.3243,                 3.5518,                 1.7384,                0.01889,                0.49275,                0.01511,                0.00633,                 1.6157,                 3.4474,                 1.5655,               0.095495,             0.00049505,             0.00049505
                      3,                 2.2091,                 3.4628,                 1.6966,                0.02167,                0.56522,                  0.018,                0.00702,                 1.6253,                 3.4011,                 1.5442,                0.09369,              0.0006896,              0.0006896
                      4,                 1.8771,                 3.3839,                 1.5927,                0.02333,                 0.6087,                0.02067,                0.00851,                  1.647,                 3.3174,                 1.5152,               0.091882,             0.00088218,             0.00088218
                      5,                 1.6812,                 3.2347,                 1.5231,                  0.025,                0.65217,                0.02403,                0.01063,                 1.6457,                 3.2407,                 1.4784,               0.090073,              0.0010728,              0.0010728
                      6,                 1.7941,                 3.2113,                 1.4756,                0.02667,                0.69565,                0.02668,                0.01288,                 1.5777,                  3.219,                 1.4243,               0.088261,              0.0012614,              0.0012614
                      7,                 1.6979,                 2.9351,                 1.4455,                0.03056,                 0.7971,                0.03284,                 0.0167,                 1.4905,                 3.1122,                 1.3826,               0.086448,               0.001448,               0.001448
                      8,                 1.5574,                 2.7145,                  1.404,                0.03167,                0.82609,                0.03839,                0.01797,                 1.4891,                 3.0601,                 1.3822,               0.084633,              0.0016327,              0.0016327
                      9,                 1.7369,                 2.5423,                 1.4482,                0.03278,                0.85507,                0.04157,                0.02011,                 1.4378,                 3.0405,                 1.3566,               0.082815,              0.0018154,              0.0018154
                     10,                 1.6926,                 2.2417,                 1.4134,                0.03556,                0.92754,                0.04783,                0.02342,                 1.4362,                 2.9679,                 1.3538,               0.080996,               0.001996,               0.001996
                     11,                 1.7352,                 1.9417,                 1.4638,                0.03611,                0.94203,                0.19396,                0.10327,                  1.427,                 2.8877,                 1.3883,               0.079175,              0.0021748,              0.0021748
